field,value,count,mean_projection,std_projection
split,behavior_eval,648,-27000.874843267746,422.8451752634384
split,direction_train,1512,-28177.426154565557,886.5700730534063
split,direction_val,1512,-28129.969010933368,862.650112196641
domain,academic_grades,216,-28857.02035409433,571.2321948707696
domain,budget_spending,648,-28199.602964048034,769.9956635621757
domain,casino_gambling,324,-27152.15943287037,400.3605794642541
domain,compensation_bonus,648,-28353.064287350502,592.8749449768314
domain,finance_investments,972,-27103.297266830632,599.7987982687696
domain,project_outcomes,216,-29530.548059534143,473.8162642764232
domain,refund_reimbursement,648,-28138.58122347608,581.0514263560257
realization_frame,paper_open,1836,-28133.408568006194,934.7180153344451
realization_frame,realized_closed,1836,-27767.107983558006,877.3094985842323
pair_role,paper_open,1836,-28133.408568006194,934.7180153344451
pair_role,realized_closed,1836,-27767.107983558006,877.3094985842323
outcome_valence,gain,1224,-27969.846215341604,916.2733965306338
outcome_valence,loss,1224,-27911.37877699908,941.0896713506816
outcome_valence,neutral,1224,-27969.549835005615,915.5394593346793
