field,value,count,mean_projection,std_projection
split,heldout_behavior_eval,24,-26987.091145833332,431.8007023624327
split,heldout_readout,56,-28402.601702008928,817.029222692989
domain,academic_grades,4,-28569.28955078125,307.73406608781033
domain,budget_spending,12,-28087.873860677082,868.8832637359163
domain,casino_gambling,12,-27051.25439453125,457.13266876725913
domain,compensation_bonus,12,-28522.1796875,586.1403747693104
domain,finance_investments,24,-27432.728434244793,854.0734223101078
domain,project_outcomes,4,-29398.34375,760.1970274012294
domain,refund_reimbursement,12,-28670.34765625,522.1045499922787
realization_frame,paper_open,40,-28151.67880859375,971.2153734646312
realization_frame,realized_closed,40,-27804.21826171875,940.3936931114413
pair_role,paper_open,40,-28151.67880859375,971.2153734646312
pair_role,realized_closed,40,-27804.21826171875,940.3936931114413
outcome_valence,gain,40,-28070.343896484374,888.1555013396777
outcome_valence,loss,40,-27885.553173828124,1040.2259443819464
